   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
   2: T3_2H_TOOL_TRACKING                                              : Journeyman's Tracking Toolkit
   3: T4_2H_TOOL_TRACKING                                              : Adept's Tracking Toolkit
   4: T5_2H_TOOL_TRACKING                                              : Expert's Tracking Toolkit
   5: T6_2H_TOOL_TRACKING                                              : Master's Tracking Toolkit
   6: T7_2H_TOOL_TRACKING                                              : Grandmaster's Tracking Toolkit
   7: T8_2H_TOOL_TRACKING                                              : Elder's Tracking Toolkit
   8: T1_FARM_CARROT_SEED                                              : Carrot Seeds
   9: T2_FARM_BEAN_SEED                                                : Bean Seeds
  10: T3_FARM_WHEAT_SEED                                               : Wheat Seeds
  11: T4_FARM_TURNIP_SEED                                              : Turnip Seeds
  12: T5_FARM_CABBAGE_SEED                                             : Cabbage Seeds
  13: T6_FARM_POTATO_SEED                                              : Potato Seeds
  14: T7_FARM_CORN_SEED                                                : Corn Seeds
  15: T8_FARM_PUMPKIN_SEED                                             : Pumpkin Seeds
  16: T2_FARM_AGARIC_SEED                                              : Arcane Agaric Seeds
  17: T3_FARM_COMFREY_SEED                                             : Brightleaf Comfrey Seeds
  18: T4_FARM_BURDOCK_SEED                                             : Crenellated Burdock Seeds
  19: T5_FARM_TEASEL_SEED                                              : Dragon Teasel Seeds
  20: T6_FARM_FOXGLOVE_SEED                                            : Elusive Foxglove Seeds
  21: T7_FARM_MULLEIN_SEED                                             : Firetouched Mullein Seeds
  22: T8_FARM_YARROW_SEED                                              : Ghoul Yarrow Seeds
  23: T3_FARM_OX_BABY                                                  : Journeyman's Ox Calf
  24: T4_FARM_OX_BABY                                                  : Adept's Ox Calf
  25: T5_FARM_OX_BABY                                                  : Expert's Ox Calf
  26: T6_FARM_OX_BABY                                                  : Master's Ox Calf
  27: T7_FARM_OX_BABY                                                  : Grandmaster's Ox Calf
  28: T8_FARM_OX_BABY                                                  : Elder's Ox Calf
  29: T3_FARM_OX_GROWN                                                 : Journeyman's Ox
  30: T4_FARM_OX_GROWN                                                 : Adept's Ox
  31: T5_FARM_OX_GROWN                                                 : Expert's Ox
  32: T6_FARM_OX_GROWN                                                 : Master's Ox
  33: T7_FARM_OX_GROWN                                                 : Grandmaster's Ox
  34: T8_FARM_OX_GROWN                                                 : Elder's Ox
  35: T3_FARM_HORSE_BABY                                               : Journeyman's Foal
  36: T4_FARM_HORSE_BABY                                               : Adept's Foal
  37: T5_FARM_HORSE_BABY                                               : Expert's Foal
  38: T6_FARM_HORSE_BABY                                               : Master's Foal
  39: T7_FARM_HORSE_BABY                                               : Grandmaster's Foal
  40: T8_FARM_HORSE_BABY                                               : Elder's Foal
  41: T3_FARM_HORSE_GROWN                                              : Journeyman's Horse
  42: T4_FARM_HORSE_GROWN                                              : Adept's Horse
  43: T5_FARM_HORSE_GROWN                                              : Expert's Horse
  44: T6_FARM_HORSE_GROWN                                              : Master's Horse
  45: T7_FARM_HORSE_GROWN                                              : Grandmaster's Horse
  46: T8_FARM_HORSE_GROWN                                              : Elder's Horse
  47: T6_FARM_DIREWOLF_BABY                                            : Direwolf Pup
  48: T7_FARM_DIREBOAR_BABY                                            : Direboar Piglet
  49: T8_FARM_DIREBEAR_BABY                                            : Direbear Cub
  50: T7_FARM_SWAMPDRAGON_BABY                                         : Swamp Dragon Pup
  51: T8_FARM_MAMMOTH_BABY                                             : Mammoth Calf
  52: T5_FARM_COUGAR_BABY                                              : Swiftclaw Cub
  53: T8_FARM_DIREWOLF_BABY                                            : Ghostwolf Pup
  54: T4_FARM_GIANTSTAG_BABY                                           : Adept's Fawn
  55: T6_FARM_GIANTSTAG_BABY                                           : Master's Fawn
  56: T6_FARM_GIANTSTAG_MOOSE_BABY                                     : Moose Calf
  57: T8_FARM_RABBIT_EASTER_BABY                                       : Vibrant Spring Cottontail Egg
  58: T8_FARM_RABBIT_EASTER_BABY_DARK                                  : Eerie Cottontail Egg
  59: T8_FARM_RABBIT_EASTER_GROWN                                      : Tame Spring Cottontail
  60: T8_FARM_RABBIT_EASTER_GROWN_DARK                                 : "Tame" Caerleon Cottontail
  61: T5_FARM_MOABIRD_FW_BRIDGEWATCH_BABY                              : Baby Moabird
  62: T5_FARM_DIREBEAR_FW_FORTSTERLING_BABY                            : Winter Bear Cub
  63: T5_FARM_DIREBOAR_FW_LYMHURST_BABY                                : Wild Boarlet
  64: T5_FARM_RAM_FW_MARTLOCK_BABY                                     : Bighorn Ram Lamb
  65: T5_FARM_SWAMPDRAGON_FW_THETFORD_BABY                             : Baby Swamp Salamander
  66: T5_FARM_GREYWOLF_FW_CAERLEON_BABY                                : Caerleon Greywolf Pup
  67: T5_FARM_OWL_FW_BRECILIEN_BABY                                    : Mystic Owlet
  68: T8_FARM_MOABIRD_FW_BRIDGEWATCH_BABY                              : Baby Elite Terrorbird
  69: T8_FARM_DIREBEAR_FW_FORTSTERLING_BABY                            : Elite Winter Bear Cub
  70: T8_FARM_DIREBOAR_FW_LYMHURST_BABY                                : Elite Wild Boarlet
  71: T8_FARM_RAM_FW_MARTLOCK_BABY                                     : Elite Bighorn Ram Lamb
  72: T8_FARM_SWAMPDRAGON_FW_THETFORD_BABY                             : Baby Elite Swamp Salamander
  73: T8_FARM_GREYWOLF_FW_CAERLEON_BABY                                : Elite Greywolf Pup
  74: T8_FARM_OWL_FW_BRECILIEN_BABY                                    : Elite Mystic Owlet
  75: T6_FARM_DIREWOLF_GROWN                                           : Tame Direwolf
  76: T7_FARM_DIREBOAR_GROWN                                           : Tame Direboar
  77: T8_FARM_DIREBEAR_GROWN                                           : Tame Direbear
  78: T7_FARM_SWAMPDRAGON_GROWN                                        : Tame Swamp Dragon
  79: T8_FARM_MAMMOTH_GROWN                                            : Tame Mammoth
  80: T5_FARM_COUGAR_GROWN                                             : Tame Swiftclaw
  81: T8_FARM_DIREWOLF_GROWN                                           : Tame Ghostwolf
  82: T4_FARM_GIANTSTAG_GROWN                                          : Adept's Tame Giant Stag
  83: T6_FARM_GIANTSTAG_GROWN                                          : Master's Tame Giant Stag
  84: T6_FARM_GIANTSTAG_MOOSE_GROWN                                    : Tame Moose
  85: T5_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN                             : Tame Moabird
  86: T5_FARM_DIREBEAR_FW_FORTSTERLING_GROWN                           : Tame Winter Bear
  87: T5_FARM_DIREBOAR_FW_LYMHURST_GROWN                               : Tame Wild Boar
  88: T5_FARM_RAM_FW_MARTLOCK_GROWN                                    : Tame Bighorn Ram
  89: T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN                            : Tame Swamp Salamander
  90: T5_FARM_GREYWOLF_FW_CAERLEON_GROWN                               : Tame Greywolf
  91: T5_FARM_OWL_FW_BRECILIEN_GROWN                                   : Tame Mystic Owl
  92: T8_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN                             : Tame Elite Terrorbird
  93: T8_FARM_DIREBEAR_FW_FORTSTERLING_GROWN                           : Tame Elite Winter Bear
  94: T8_FARM_DIREBOAR_FW_LYMHURST_GROWN                               : Tame Elite Wild Boar
  95: T8_FARM_RAM_FW_MARTLOCK_GROWN                                    : Tame Elite Bighorn Ram
  96: T8_FARM_SWAMPDRAGON_FW_THETFORD_GROWN                            : Tame Elite Swamp Salamander
  97: T8_FARM_GREYWOLF_FW_CAERLEON_GROWN                               : Tame Elite Greywolf
  98: T8_FARM_OWL_FW_BRECILIEN_GROWN                                   : Tame Elite Mystic Owl
  99: T3_FARM_CHICKEN_BABY                                             : Baby Chickens
 100: T4_FARM_GOAT_BABY                                                : Kid
 101: T5_FARM_GOOSE_BABY                                               : Gosling
 102: T6_FARM_SHEEP_BABY                                               : Lamb
 103: T7_FARM_PIG_BABY                                                 : Piglet
 104: T8_FARM_COW_BABY                                                 : Calf
 105: T3_FARM_CHICKEN_GROWN                                            : Chicken
 106: T4_FARM_GOAT_GROWN                                               : Goat
 107: T5_FARM_GOOSE_GROWN                                              : Goose
 108: T6_FARM_SHEEP_GROWN                                              : Sheep
 109: T7_FARM_PIG_GROWN                                                : Pig
 110: T8_FARM_COW_GROWN                                                : Cow
 111: T6_MOUNTUPGRADE_GIANTSTAG_XMAS                                   : Decorative Stag Bridle
 112: UNIQUE_MOUNTUPGRADE_RAM_XMAS                                     : Decorative Ram Bridle
 113: T5_MOUNTUPGRADE_HORSE_CURSE                                      : Necromantic Elixir
 114: T8_MOUNTUPGRADE_HORSE_CURSE                                      : Spectral Mask
 115: T8_MOUNTUPGRADE_COUGAR_KEEPER                                    : Sacred Bone Marrow
 116: T5_MOUNTUPGRADE_HORSE_MORGANA                                    : Morgana Mare Saddle
 117: T8_MOUNTUPGRADE_HORSE_MORGANA                                    : Infernal Horseshoes
 118: T1_CARROT                                                        : Carrots
 119: T2_BEAN                                                          : Beans
 120: T3_WHEAT                                                         : Sheaf of Wheat
 121: T4_TURNIP                                                        : Turnips
 122: T5_CABBAGE                                                       : Cabbage
 123: T6_POTATO                                                        : Potatoes
 124: T7_CORN                                                          : Bundle of Corn
 125: T8_PUMPKIN                                                       : Pumpkin
 126: T2_AGARIC                                                        : Arcane Agaric
 127: T3_COMFREY                                                       : Brightleaf Comfrey
